chinese,german
你好，你叫什么名字你好，我叫安娜，你来自哪里,hallo wie heißt du hallo ich heiße Anna woher kommst du
我来自德国，现居住于柏林,ich komme aus Deutschland und wohne in Berlin
你喜欢柏林吗柏林是一个大而美丽的城市,wie gefällt dir Berlin berlin ist eine große und schöne
城市里有很多人，汽车和公园我非常喜欢这座城市,Stadt es gibt viele Menschen Autos und Parks ich mag die Stadt sehr
你会说什么语言我会说德语和一点,welche Sprachen sprichst du ich spreche Deutsch und ein bisschen
英语，我也在学习西班牙语因为我发现新语言令人兴奋,Englisch außerdem lerne ich Spanisch weil ich neue Sprachen spannend finde
你的职业是什么我是一名教师，教书,was machst du beruflich ich arbeite als Lehrerin und unterrichte
学校里的孩子们我的学生们非常友善，喜欢学习,Kinder in einer Schule meine Schüler sind sehr nett und lernen mit Freude
你有兄弟姐妹吗是的，我有一个兄弟和一个,hast du Geschwister ja ich habe einen Bruder und eine
姐姐，我的兄弟叫卢卡斯，就读于,Schwester mein Bruder heißt Lukas und studiert an der
我妹妹索菲上的大学仍在上学并且感兴趣,Universität meine Schwester Sophie geht noch zur Schule und interessiert sich
对于艺术和音乐，你有什么看法？父母,für Kunst und Musik und was machen deine Eltern
我的母亲是一名医生，我父亲是,meine Mutter arbeitet als Ärztin und mein Vater ist
建筑师们通常都很忙但我们喜欢一起度过时光,Architekt beide sind oft beschäftigt aber wir verbringen gerne Zeit zusammen
你有祖父母吗是的，我的祖父母住在,hast du Großeltern ja meine Großeltern wohnen auf dem
土地上有很多动物鸡我拜访了一只猫和一只大狗,Land dort gibt es viele Tiere Hühner Katzen und einen großen Hund ich besuche
他们经常你的日常生活是什么样的,sie oft wie sieht dein Alltag aus
我每天早上 7 点起床吃早餐然后去上班,ich stehe jeden Morgen um 7 Uhr auf frühstücke und gehe zur Arbeit mein
工作日从上午 8 点持续到下午 4 点之后我经常去购物或,Arbeitstag dauert von 8 bis 16 Uhr danach kaufe ich oft ein oder treibe
晚上我放松的运动电视,Sport am Abend entspanne ich mich beim Fernsehen
你周末做什么周末我睡得更久，,was machst du am Wochenende am Wochenende schlafe ich länger und
和我的一起享用早餐有时我会和家人见面，或者,genieße das Frühstück mit meiner Familie manchmal treffe ich Freunde oder
我们去看电影你的爱好是什么我喜欢读书，尤其是犯罪小说,wir gehen ins Kino was sind deine Hobbys ich lese gerne Bücher besonders Krimmis
我也最喜欢听音乐流行音乐,ich höre auch gerne Musik am liebsten Popmusik
我也喜欢拍照拍摄许多花卉、动物和,außerdem fotografiere ich gerne und mache viele Bilder von Blumen Tieren und
日落你喜欢运动吗,Sonnenuntergängen magst du Sport
是的，我经常散步和骑自行车你喜欢游泳吗？,ja ich gehe oft spazieren fahre Fahrrad und schwimme gerne hast du ein
最喜欢的动物是的，我最喜欢的动物是狗，因为,Lieblingstier ja mein Lieblingstier ist der Hund weil
他忠诚而友好，我有即使是一只狗，他的名字也叫马克斯,er treu und freundlich ist ich habe selbst einen Hund er heißt Max
你喜欢做饭吗？我可以做很多菜，例如,kochst du gerne ja sehr ich kann viele Gerichte kochen z.B
汤沙拉和我喜欢吃意大利面,suppe Salat und Pasta am liebsten esse ich Spaghetti mit
番茄酱你最大的梦想是什么？,Tomatensoße was ist dein größter Traum ich möchte
大量旅行和新国家了解我最大的愿望是,viel Reisen und neue Länder kennenlernen mein größter Wunsch ist es
开一家小咖啡店人们在舒适的氛围中,ein kleines Kaffee zu eröffnen wo Menschen in gemütlicher Atmosphäre
喝咖啡，阅读罐头清单到,Kaffee trinken und lesen können listen to the
仅限对话字幕,conversation only subtitles naturaleng
你好，你叫什么名字你好，我叫安娜，你来自哪里,hallo wie heißt du hallo ich heiße Anna woher kommst du ich
我来自德国，现居住于柏林 你喜欢柏林吗,komme aus Deutschland und wohne in Berlin wie gefällt dir Berlin
柏林是一座美丽的大城市有很多人、车和公园,berlin ist eine große und schöne Stadt es gibt viele Menschen Autos und Parks
我很喜欢这座城市，语言你会说德语吗？我会说德语吗？,ich mag die Stadt sehr welche Sprachen sprichst du ich spreche Deutsch und ein
有一点英语，我也在学习西班牙语，因为我发现新语言很令人兴奋,bisschen Englisch außerdem lerne ich Spanisch weil ich neue Sprachen spannend
找到你做什么工作从事教师工作并教学,finde was machst du beruflich ich arbeite als Lehrerin und unterrichte
学校里的孩子们我的学生们非常友善，喜欢学习,Kinder in einer Schule meine Schüler sind sehr nett und lernen mit Freude
你有兄弟姐妹吗？是的，我有一个。哥哥和姐姐我的哥哥,hast du Geschwister ja ich habe einen Bruder und eine Schwester mein Bruder
名叫卢卡斯，在我妹妹索菲上的大学,heißt Lukas und studiert an der Universität meine Schwester Sophie geht
仍在上学并且感兴趣对于艺术和音乐，你有什么看法？,noch zur Schule und interessiert sich für Kunst und Musik und was machen deine
父母我的母亲是一名医生我的父亲是一名建筑师，两人都是,Eltern meine Mutter arbeitet als Ärztin und mein Vater ist Architekt beide sind
经常很忙，但我们你喜欢和祖父母一起度过时光吗？,oft beschäftigt aber wir verbringen gerne Zeit zusammen hast du Großeltern
是的，我的祖父母住在乡下有很多动物，鸡，猫,ja meine Großeltern wohnen auf dem Land dort gibt es viele Tiere Hühner Katzen
和一只大狗我去看望她你的日常生活通常是什么样的？我站着,und einen großen Hund ich besuche sie oft wie sieht dein Alltag aus ich stehe
每天早上 7 点吃早餐，去上班我的工作日持续,jeden Morgen um 7 Uhr auf frühstücke und gehe zur Arbeit mein Arbeitstag dauert
从早上 8 点到下午 4 点，我经常买或者晚上做运动放松一下,von 8 bis 16 Uhr danach kaufe ich oft ein oder treibe Sport am Abend entspanne
我在看电视你在做什么周末我睡觉,ich mich beim Fernsehen was machst du am Wochenende am Wochenende schlafe ich
享受更长的早餐有时我会见到我的家人,länger und genieße das Frühstück mit meiner Familie manchmal treffe ich
朋友或者我们去电影院你的爱好我喜欢读书,Freunde oder wir gehen ins Kino was sind deine Hobbys ich lese gerne Bücher
尤其是犯罪小说我也喜欢听音乐最好是流行音乐,besonders Krimmis ich höre auch gerne Musik am liebsten Popmusik außerdem
我喜欢拍照，拍了很多花卉、动物和,fotografiere ich gerne und mache viele Bilder von Blumen Tieren und
日落你喜欢运动吗？是的，我经常去散步。,Sonnenuntergängen magst du Sport ja ich gehe oft spazieren
骑自行车并享受游泳最喜欢的动物,fahre Fahrrad und schwimme gerne hast du ein Lieblingstier
是的，我最喜欢的动物是狗，因为他忠诚而友好，我有,ja mein Lieblingstier ist der Hund weil er treu und freundlich ist ich habe
甚至一只狗他的名字是马克斯你做饭很高兴是的，我可以做很多菜,selbst einen Hund er heißt Max kochst du gerne ja sehr ich kann viele Gerichte
例如做饭汤、沙拉和意大利面我喜欢吃意大利面,kochen z.B suppe Salat und Pasta am liebsten esse ich Spaghetti mit
番茄酱你最大的梦想是什么？,Tomatensoße was ist dein größter Traum ich möchte
大量旅行和新国家了解我最大的愿望是,viel Reisen und neue Länder kennenlernen mein größter Wunsch ist es
开一家小咖啡店人们在舒适的氛围中,ein kleines Kaffee zu eröffnen wo Menschen in gemütlicher Atmosphäre
喝咖啡、看书可以重复以下简单,Kaffee trinken und lesen können repeat the following simple
叙述者练习后的句子你的发音,sentences after the narrator to practice your pronunciation
我住在柏林我住在柏林,wohnen ich wohne in Berlin ich wohne in Berlin
你住在哪里你住在哪里,wo wohnst du wo wohnst du
工作 我是一名教师我是一名教师,arbeiten ich arbeite als Lehrerin ich arbeite als Lehrerin
我父亲是一名建筑师我父亲是一名建筑师,mein Vater arbeitet als Architekt mein Vater arbeitet als Architekt
我说德语英语我会说德语和,sprechen ich spreche Deutsch und Englisch ich spreche Deutsch und
英语你会说西班牙语吗,Englisch sprichst du Spanisch
你会说西班牙语吗,sprichst du Spanisch
吃我喜欢吃披萨我喜欢吃披萨,essen ich esse gerne Pizza ich esse gerne Pizza
你早餐吃什么你早餐吃什么,was isst du zum Frühstück was istst du zum Frühstück
就像我喜欢狗一样我喜欢狗,mögen ich mag Hunde ich mag Hunde
你喜欢音乐吗你喜欢音乐吗,magst du Musik magst du Musik
读 我喜欢读书我喜欢读书,lesen ich lese gerne Bücher ich lese gerne Bücher
你喜欢读犯罪小说吗？你喜欢读犯罪小说吗？,liest du gerne Krimmis liest du gerne Krimmis
骑我经常骑自行车我经常骑自行车,fahren ich fahre oft Fahrrad ich fahre oft Fahrrad
你坐公交车去上班你坐公交车去上班,fährst du mit dem Bus zur Arbeit fährst du mit dem Bus zur Arbeit
看我喜欢看电影我喜欢看电影,sehen ich sehe gern Filme ich sehe gern Filme
你经常看电视吗你经常看电视吗,siehst du oft fern siehst du oft fern
我有一个哥哥和一个姐姐,haben Ich habe einen Bruder und eine Schwester
我有一个哥哥和一个姐姐你有宠物吗,ich habe einen Bruder und eine Schwester hast du Haustiere
你有宠物吗周末我要去看电影,hast du Haustiere gehen ich gehe am Wochenende ins Kino
我周末去看电影你经常散步吗,ich gehe am Wochenende ins Kino gehst du oft spazieren
