chinese,german
你喜欢咖啡吗？,Magst du Kaffee?
你喜欢咖啡吗？,Magst du Kaffee?
是的，我喜欢咖啡。,"Ja, ich mag Kaffee."
是的，我喜欢咖啡。,"Ja, ich mag Kaffee."
火车站在哪里？,Wo ist der Bahnhof?
火车站在哪里？,Wo ist der Bahnhof?
他在那边。,Er ist dort drüben.
他在那边。,Er ist dort drüben.
你饿了吗？,Hast du Hunger?
你饿了吗？,Hast du Hunger?
是的。我饿了。,Ja. Ich habe Hunger.
是的，我饿了。,"Ja, ich habe Hunger."
你住在哪里？,Wo wohnst du?
你住在哪里？,Wo wohnst du?
我住在柏林。,Ich wohne in Berlin.
我住在柏林。,Ich wohne in Berlin.
我可以帮你吗？,Kann ich dir helfen?
我可以帮你吗？,Kann ich dir helfen?
是的，请。,"Ja, bitte."
是的，请。,"Ja, bitte."
你的职业是什么？,Was machst du beruflich?
你的职业是什么？,Was machst du beruflich?
我是老师。,Ich bin Lehrer.
我是老师。,Ich bin Lehrer.
你有兄弟姐妹吗？,Hast du Geschwister?
你有兄弟姐妹吗？,Hast du Geschwister?
是的。我有一个妹妹。,Ja. Ich habe eine Schwester.
是的，我有一个妹妹。,"Ja, ich habe eine Schwester."
下雨了吗？,Regnet es?
下雨了吗？,Regnet es?
不，没有下雨。,"Nein, es regnet nicht."
不，没有下雨。,"Nein, es regnet nicht."
现在是几奌？,Wie spät ist es?
现在是几奌？,Wie spät ist es?
现在是 3:00。,Es ist 3:00.
现在是 3:00。,Es ist 3:00.
你喜欢音乐吗？,Magst du Musik?
你喜欢音乐吗？,Magst du Musik?
是的。我喜欢音乐。,Ja. Ich mag Music.
是的。我喜欢音乐。,Ja. Ich mag Music.
你累了吗？,Bist du müde?
你累了吗？,Bist du müde?
是的。我累了。,Ja. Ich bin müde.
是的，我累了。,"Ja, ich bin müde."
你什么时候上班？,Wann arbeitest du?
你什么时候上班？,Wann arbeitest du?
我早上工作。,Ich arbeite morgens.
我早上工作。,Ich arbeite morgens.
你会开车吗？,Kannst du Auto fahren?
你会开车吗？,Kannst du Auto fahren?
是的。我会开车。,Ja. Ich kann Auto fahren.
是的。我会开车。,Ja. Ich kann Auto fahren.
你为什么学习德语？,Warum lernst du Deutsch?
你为什么学习德语？,Warum lernst du Deutsch?
因为我喜欢语言。,Weil ich Sprachen mag.
因为我喜欢语言。,Weil ich Sprachen mag.
这个座位有人吗？,Ist dieser Platz frei?
这个座位有人吗？,Ist dieser Platz frei?
是的。他是自由的。,Ja. Er ist frei.
是的，他自由了。,"Ja, er ist frei."
你今天过得怎么样？,Wie war dein Tag?
你今天过得怎么样？,Wie war dein Tag?
他很好，谢谢。,"Er war gut, danke."
他很好，谢谢。,"Er war gut, danke."
您需要帮助吗？,Brauchst du Hilfe?
您需要帮助吗？,Brauchst du Hilfe?
不，谢谢，没关系。,"Nein, danke, es geht."
不，谢谢，没关系。,"Nein, danke, es geht."
你吃了什么？,Was hast du gegessen?
你吃了什么？,Was hast du gegessen?
我吃了一个三明治。,Ich habe ein Sandwich gegessen.
我吃了一个三明治。,Ich habe ein Sandwich gegessen.
你明天来吗？,Kommst du morgen?
你明天来吗？,Kommst du morgen?
是的。我明天会来。,Ja. Ich komme morgen.
是的，我明天就来。,"Ja, ich komme morgen."
厕所在哪里？,Wo ist das Badezimmer?
厕所在哪里？,Wo ist das Badezimmer?
它在左边。,Es ist links.
它在左边。,Es ist links.
你喜欢读书吗？,Liest du gerne?
你喜欢读书吗？,Liest du gerne?
是的。我喜欢看书。,Ja. Ich lese gerne Bücher.
是的，我喜欢看书。,"Ja, Ich lese gerne Bücher."
费用多少？,Wie viel kostet das?
费用多少？,Wie viel kostet das?
费用为 10 欧元。,Es kostet 10 €.
费用为 10 欧元。,Es kostet 10 €.
你会游泳吗？,Kannst du schwimmen?
你会游泳吗？,Kannst du schwimmen?
不，我不会游泳。,"Nein, Ich kann nicht schwimmen."
不，我不会游泳。,"Nein, ich kann nicht schwimmen."
你的爱好是什么？,Was ist dein Hobby?
你的爱好是什么？,Was ist dein Hobby?
我的爱好是画画。,Mein Hobby ist Malen.
我的爱好是画画。,Mein Hobby ist Malen.
你结婚了吗？,Bist du verheiratet?
你结婚了吗？,Bist du verheiratet?
不，我还没结婚。,"Nein, ich bin nicht verheiratet."
不，我还没结婚。,"Nein, ich bin nicht verheiratet."
你什么时候起床？,Wann stehst du auf?
你什么时候起床？,Wann stehst du auf?
我7:00起床。,Ich stehe um 7:00 auf.
我7:00起床。,Ich stehe um 7:00 auf.
这是正确的方法吗？,Ist das der richtige Weg?
这是正确的方法吗？,Ist das der richtige Weg?
是的。这是正确的方法。,Ja. Das ist der richtige Weg.
是的，这是正确的方法。,"Ja, das ist der richtige Weg."
